AFFGEOID,ALAND,AWATER,COUNTYFP,COUSUBFP,COUSUBNS,GEOID,LSAD,NAME,STATEFP
0600000US3602923415,103049598,182311,029,23415,00978924,3602923415,43,Eden,36
0600000US3602935122,92695625,94365,029,35122,00979070,3602935122,43,Holland,36
0600000US3602945601,71238506,97287,029,45601,00979198,3602945601,43,Marilla,36
0600000US3602977871,92169795,130985,029,77871,00979591,3602977871,43,Wales,36
0600000US3602950716,131464187,741284,029,50716,00979273,3602950716,43,Newstead,36
0600000US3602907894,62973454,1099294,029,07894,00978749,3602907894,43,Brant,36
0600000US3602911000,104592931,31362935,029,11000,00978764,3602911000,25,Buffalo,36
0600000US3602975000,48523616,3998029,029,75000,00979551,3602975000,43,Tonawanda Town,36
0600000US3602980918,55314971,146794,029,80918,00979626,3602980918,43,West Seneca,36
0600000US3602916870,92288670,231108,029,16870,00978849,3602916870,43,Colden,36
0600000US3602907454,92775269,0,029,07454,00978744,3602907454,43,Boston,36
0600000US3602924801,107561359,82848,029,24801,00978947,3602924801,43,Evans,36
0600000US3602931654,107025339,71731,029,31654,00979036,3602931654,43,Hamburg,36
0600000US3602965277,129952663,603426,029,65277,00979463,3602965277,43,Sardinia,36
0600000US3602917585,181127906,413516,029,17585,00978857,3602917585,43,Concord,36
0600000US3602902000,137777265,1003466,029,02000,00978675,3602902000,43,Amherst,36
0600000US3602903199,94260834,119906,029,03199,00978698,3602903199,43,Aurora,36
0600000US3602915011,76228644,162756,029,15011,00978817,3602915011,43,Cheektowaga,36
0600000US3602929828,73229330,13000217,029,29828,00979012,3602929828,43,Grand Island,36
0600000US3602941146,97664290,605214,029,41146,00979130,3602941146,43,Lancaster,36
0600000US3602951803,110990923,447040,029,51803,00979283,3602951803,43,North Collins,36
0600000US3602974166,9850445,745854,029,74166,00979550,3602974166,25,Tonawanda City,36
0600000US3602924130,89409396,28156,029,24130,00978937,3602924130,43,Elma,36
0600000US3602901099,88856989,520108,029,01099,00978662,3602901099,43,Alden,36
0600000US3602915825,138558952,340944,029,15825,00978829,3602915825,43,Clarence,36
0600000US3602940189,17019499,128249,029,40189,00979124,3602940189,25,Lackawanna,36
0600000US3602917200,124231171,450546,029,17200,00978852,3602917200,43,Collins,36
0600000US3602955277,99550456,205128,029,55277,00979318,3602955277,43,Orchard Park,36